rank,Song,Artist,Country of origin
1,Say Nothing,Flume featuring May-a,Australia
2,B.O.T.A. (Baddest of Them All),Eliza Rose and Interplanetary Criminal,United Kingdom
3,Hardlight,Spacey Jane,Australia
4,Bad Habit,Steve Lacy,United States
5,It's Been a Long Day,Spacey Jane,Australia
6,Sitting Up,Spacey Jane,Australia
7,About Damn Time,Lizzo,United States
8,Stars in My Eyes,Ball Park Music,Australia
9,In the Wake of Your Leave,Gang of Youths,Australia
10,Glimpse of Us,Joji,Japan
11,Gay 4 Me,G Flip featuring Lauren Sanderson,Australia/United States
12,First Class,Jack Harlow,United States
13,New Gold,Gorillaz featuring Tame Impala and Bootie Brown,United Kingdom/Australia/United States
14,Delilah (Pull Me Out of This),Fred Again,United Kingdom
15,Facts of Life,Lime Cordiale,Australia
16,God Is a Freak,Peach PRC,Australia
17,Get Inspired,Genesis Owusu,Ghana/Australia
18,Turn On the Lights Again,Fred Again and Swedish House Mafia featuring Future,United Kingdom/Sweden/United States
19,Stranger Days,Skegss,Australia
20,Shirt,SZA,United States
21,Backseat of My Mind,Thelma Plum,Australia
22,Vegas,Doja Cat,United States
23,Am I Ever Gonna See Your Face Again (Like a Version),Dune Rats,Australia
24,Cuff It,Beyoncé,United States
25,Pulling Through,Spacey Jane,Australia
26,Jungle,Fred Again,United Kingdom
27,Camp Dog,King Stingray,Australia
28,Big City Life,Luude and Mattafix,Australia/United Kingdom
29,Clarity,Vance Joy,Australia
30,Shooting Stars (Like a Version),Flume featuring Toro y Moi,Australia/United States
31,Wish You Well,Baker Boy featuring Bernard Fanning,Australia
32,TV,Billie Eilish,United States
33,Thousand Miles,The Kid Laroi,Australia
34,Colin,Lime Cordiale,Australia
35,Let's Go,King Stingray,Australia
36,2 Be Loved (Am I Ready),Lizzo,United States
37,Miracle Maker,Dom Dolla featuring Clementine Douglas,Australia/United Kingdom
38,Strangers,Bring Me the Horizon,United Kingdom
39,Doja,Central Cee,United Kingdom
40,Yet,Spacey Jane,Australia
41,N95,Kendrick Lamar,United States
42,Break My Soul,Beyoncé,United States
43,Yellow (Like a Version),King Stingray,Australia
44,Rich Flex,Drake and 21 Savage,Canada/United Kingdom
45,This Is Why,Paramore,United States
46,Ripple,Sycco featuring Flume and Chrome Sparks,Australia/United States
47,Growing Up Is,Ruel,United Kingdom/Australia
48,It's a Killa,Fisher and Shermanology,Australia/Netherlands
49,Star Walkin' (League of Legends Worlds Anthem),Lil Nas X,United States
50,Slugger 1.4 (2014 Export.WAV),Flume,Australia
51,I Like You (A Happier Song),Post Malone featuring Doja Cat,United States
52,Burn Dem Bridges,Skin on Skin,Australia
53,6L GTR,The Chats,Australia
54,A Whole Day's Night,Hilltop Hoods featuring Montaigne and Tom Thum,Australia
55,Girl Sports,Teen Jesus and the Jean Teasers,Australia
56,Deepest Darkness,Ocean Alley,Australia
57,Leaving for London,Pacific Avenue,Australia
58,I'm in Love with You,The 1975,United Kingdom
59,Double Vision,Ocean Alley,Australia
60,Country Club,Lime Cordiale,Australia
61,Messy in Heaven,Venbee and Goddard,United Kingdom
62,Home,Ocean Alley,Australia
63,Teddy,Teenage Dads,Australia
64,Anakin,The Rions,Australia
65,Forever Drunk,Peach PRC,Australia
66,The Brown Snake,Thelma Plum,Australia
67,Escapism,Raye featuring 070 Shake,United Kingdom/United States
68,Yeah the Girls,Fisher featuring Meryll,Australia/Netherlands
69,Maybe,Machine Gun Kelly featuring Bring Me the Horizon,United States/United Kingdom
70,Only Wanna Be with You,Amy Shark,Australia
71,Show Business,Hilltop Hoods featuring Eamon,Australia/United States
72,Static,Steve Lacy,United States
73,No Choice,Tame Impala,Australia
74,She's All I Wanna Be,Tate McRae,Canada
75,Bothers Me,Spacey Jane,Australia
76,Jimmy Cooks,Drake featuring 21 Savage,Canada/United Kingdom
77,There'd Better Be a Mirrorball,Arctic Monkeys,United Kingdom
78,Kamikaze,Violent Soho,Australia
79,Body Paint,Arctic Monkeys,United Kingdom
80,Walkin,Denzel Curry,United States
81,Beach Boy,Benee,New Zealand
82,Is This What It Feels Like to Feel Like This?,The Wombats,United Kingdom
83,Handful,Beddy Rays,Australia
84,The 30th,Billie Eilish,United States
85,Everybody's Saying Thursday's the Weekend,DMA's,Australia
86,Glitch,Parkway Drive,Australia
87,GTFO,Genesis Owusu,Ghana/Australia
88,Oh Caroline,The 1975,United Kingdom
89,Show Me Your God,The Amity Affliction,Australia
90,I Don't Wanna Do Nothing Forever,The Smith Street Band,Australia
91,Free,Florence and the Machine,United Kingdom
92,Alright,Sam Fender,United Kingdom
93,Holy Moley,Lime Cordiale and Idris Elba,Australia/United Kingdom
94,Lupa,King Stingray,Australia
95,Evergreen (You Didn't Deserve Me at All),Omar Apollo,United States
96,Waste of Space,G Flip,Australia
97,Betty (Get Money),Yung Gravy,United States
98,Bad Memories,Meduza and James Carter featuring Elley Duhé and Fast Boy,Italy/United Kingdom/United States/Germany
99,Sidelines,Phoebe Bridgers,United States
100,Danielle (Smile on My Face),Fred Again,United Kingdom
